image_id,true_count,difficulty
bin_000,1,hard
bin_001,2,easy
bin_002,3,easy
bin_003,1,hard
bin_004,2,easy
bin_005,3,easy
bin_006,5,hard
bin_007,2,easy
bin_008,2,easy
bin_009,5,hard
bin_010,4,easy
bin_011,1,easy
bin_012,3,hard
bin_013,2,easy
bin_014,2,easy
bin_015,2,hard
bin_016,5,easy
bin_017,5,easy
bin_018,1,hard
bin_019,3,easy
bin_020,3,easy
bin_021,2,hard
bin_022,2,easy
bin_023,3,easy
bin_024,2,hard
bin_025,1,easy
bin_026,2,easy
bin_027,1,hard
bin_028,1,easy
bin_029,2,easy
bin_030,2,hard
bin_031,2,easy
bin_032,1,easy
bin_033,2,hard
bin_034,1,easy
bin_035,3,easy
bin_036,4,hard
bin_037,5,easy
bin_038,5,easy
bin_039,3,hard
bin_040,3,easy
bin_041,3,easy
bin_042,2,hard
bin_043,4,easy
bin_044,5,easy
bin_045,2,hard
bin_046,1,easy
bin_047,5,easy
bin_048,3,hard
bin_049,1,easy
bin_050,4,easy
bin_051,1,hard
bin_052,5,easy
bin_053,5,easy
bin_054,2,hard
bin_055,4,easy
bin_056,1,easy
bin_057,1,hard
bin_058,2,easy
bin_059,3,easy
